GRID_OID,PLAIN,HILL,MOUNTAIN,PLAIN_M,HILL_M,MOUNTAIN_M,TOTAL_M
16819,1,18,0,0.052631579,0.947368421,0.0,1
16820,10,0,0,1.0,0.0,0.0,1
16825,3,9,0,0.25,0.75,0.0,1
16826,3,15,1,0.157894737,0.789473684,0.052631579,1
16827,0,19,0,0.0,1.0,0.0,1
16828,0,20,0,0.0,1.0,0.0,1
16829,0,11,8,0.0,0.578947368,0.421052632,1
16830,0,9,11,0.0,0.45,0.55,1
16831,0,8,11,0.0,0.421052632,0.578947368,1
16832,0,5,16,0.0,0.238095238,0.761904762,1
16833,2,10,1,0.153846154,0.769230769,0.076923077,1
16972,5,14,0,0.263157895,0.736842105,0.0,1
16973,0,20,0,0.0,1.0,0.0,1
16974,0,9,10,0.0,0.473684211,0.526315789,1
16975,0,7,13,0.0,0.35,0.65,1
16976,0,12,8,0.0,0.6,0.4,1
16977,0,17,2,0.0,0.894736842,0.105263158,1
16991,9,3,0,0.75,0.25,0.0,1
16992,20,0,0,1.0,0.0,0.0,1
16993,20,0,0,1.0,0.0,0.0,1
16994,12,0,0,1.0,0.0,0.0,1
16995,9,0,0,1.0,0.0,0.0,1
16997,0,10,0,0.0,1.0,0.0,1
16998,0,19,0,0.0,1.0,0.0,1
16999,0,17,3,0.0,0.85,0.15,1
17000,0,1,18,0.0,0.052631579,0.947368421,1
17001,0,0,20,0.0,0.0,1.0,1
17002,0,6,14,0.0,0.3,0.7,1
17003,0,3,17,0.0,0.15,0.85,1
17004,0,2,18,0.0,0.1,0.9,1
17005,0,3,16,0.0,0.157894737,0.842105263,1
17006,0,0,20,0.0,0.0,1.0,1
17007,0,3,16,0.0,0.157894737,0.842105263,1
17008,0,6,14,0.0,0.3,0.7,1
17009,0,10,10,0.0,0.5,0.5,1
17010,1,11,8,0.05,0.55,0.4,1
17011,0,16,2,0.0,0.888888889,0.111111111,1
17012,3,14,1,0.166666667,0.777777778,0.055555556,1
17033,0,9,10,0.0,0.473684211,0.526315789,1
17034,0,12,8,0.0,0.6,0.4,1
17035,0,11,9,0.0,0.55,0.45,1
17036,1,17,2,0.05,0.85,0.1,1
17037,3,17,0,0.15,0.85,0.0,1
17038,0,18,1,0.0,0.947368421,0.052631579,1
17039,0,13,7,0.0,0.65,0.35,1
17040,0,13,6,0.0,0.684210526,0.315789474,1
17041,0,11,9,0.0,0.55,0.45,1
17042,0,9,11,0.0,0.45,0.55,1
17043,0,1,18,0.0,0.052631579,0.947368421,1
17044,0,9,12,0.0,0.428571429,0.571428571,1
17045,0,19,0,0.0,1.0,0.0,1
17046,4,16,0,0.2,0.8,0.0,1
17047,0,20,0,0.0,1.0,0.0,1
17048,0,19,0,0.0,1.0,0.0,1
17049,11,9,0,0.55,0.45,0.0,1
17050,15,2,0,0.882352941,0.117647059,0.0,1
17054,2,10,0,0.166666667,0.833333333,0.0,1
17055,0,19,1,0.0,0.95,0.05,1
17056,0,18,2,0.0,0.9,0.1,1
17057,0,12,0,0.0,1.0,0.0,1
17058,0,10,2,0.0,0.833333333,0.166666667,1
17198,3,17,0,0.15,0.85,0.0,1
17199,12,1,0,0.923076923,0.076923077,0.0,1
17200,0,6,0,0.0,1.0,0.0,1
17201,0,15,5,0.0,0.75,0.25,1
17202,0,8,10,0.0,0.444444444,0.555555556,1
17203,0,4,16,0.0,0.2,0.8,1
17204,0,18,2,0.0,0.9,0.1,1
17205,0,4,15,0.0,0.210526316,0.789473684,1
17206,0,5,0,0.0,1.0,0.0,1
17220,5,4,0,0.555555556,0.444444444,0.0,1
17221,6,0,0,1.0,0.0,0.0,1
17222,5,1,0,0.833333333,0.166666667,0.0,1
17227,5,2,0,0.714285714,0.285714286,0.0,1
17228,12,6,0,0.666666667,0.333333333,0.0,1
17229,3,11,5,0.157894737,0.578947368,0.263157895,1
17230,0,0,20,0.0,0.0,1.0,1
17231,0,0,19,0.0,0.0,1.0,1
17232,0,1,19,0.0,0.05,0.95,1
17233,0,10,10,0.0,0.5,0.5,1
17234,0,14,6,0.0,0.7,0.3,1
17235,0,18,2,0.0,0.9,0.1,1
17236,0,10,10,0.0,0.5,0.5,1
17237,6,12,0,0.333333333,0.666666667,0.0,1
17238,5,5,0,0.5,0.5,0.0,1
17254,1,5,0,0.166666667,0.833333333,0.0,1
17257,2,9,0,0.181818182,0.818181818,0.0,1
17258,0,10,5,0.0,0.666666667,0.333333333,1
17259,1,12,0,0.076923077,0.923076923,0.0,1
17260,0,14,6,0.0,0.7,0.3,1
17261,0,8,12,0.0,0.4,0.6,1
17262,0,9,11,0.0,0.45,0.55,1
17263,0,8,11,0.0,0.421052632,0.578947368,1
17264,0,8,12,0.0,0.4,0.6,1
17265,0,10,9,0.0,0.526315789,0.473684211,1
17266,0,11,9,0.0,0.55,0.45,1
17267,0,19,1,0.0,0.95,0.05,1
17268,8,11,1,0.4,0.55,0.05,1
17269,4,13,3,0.2,0.65,0.15,1
17270,2,12,5,0.105263158,0.631578947,0.263157895,1
17271,0,14,7,0.0,0.666666667,0.333333333,1
17272,0,14,6,0.0,0.7,0.3,1
17273,0,9,10,0.0,0.473684211,0.526315789,1
17274,0,11,9,0.0,0.55,0.45,1
17275,5,15,0,0.25,0.75,0.0,1
17276,3,16,0,0.157894737,0.842105263,0.0,1
17277,0,21,0,0.0,1.0,0.0,1
17278,0,20,0,0.0,1.0,0.0,1
17279,0,16,0,0.0,1.0,0.0,1
17283,5,13,0,0.277777778,0.722222222,0.0,1
17284,0,15,0,0.0,1.0,0.0,1
17285,0,6,0,0.0,1.0,0.0,1
17321,2,5,0,0.285714286,0.714285714,0.0,1
17322,1,16,0,0.058823529,0.941176471,0.0,1
17323,3,15,0,0.166666667,0.833333333,0.0,1
17324,4,5,0,0.444444444,0.555555556,0.0,1
17325,1,2,0,0.333333333,0.666666667,0.0,1
17427,0,18,0,0.0,1.0,0.0,1
17428,4,6,0,0.4,0.6,0.0,1
17429,0,8,6,0.0,0.571428571,0.428571429,1
17430,0,7,13,0.0,0.35,0.65,1
17431,0,3,17,0.0,0.15,0.85,1
17432,4,14,1,0.210526316,0.736842105,0.052631579,1
17433,2,7,6,0.133333333,0.466666667,0.4,1
