GRID_OID,ROCK,NON_ROCK,ROCK_S,NON_ROCK_S,TOTAL_S
1512,4,0,1.0,0.0,1
1513,2,0,1.0,0.0,1
1514,4,0,1.0,0.0,1
1515,4,0,1.0,0.0,1
1516,2,0,1.0,0.0,1
1517,4,0,1.0,0.0,1
1518,2,0,1.0,0.0,1
1519,2,2,0.5,0.5,1
1520,0,4,0.0,1.0,1
1521,0,2,0.0,1.0,1
1522,2,2,0.5,0.5,1
1523,2,0,1.0,0.0,1
1524,4,0,1.0,0.0,1
1525,4,0,1.0,0.0,1
1526,2,0,1.0,0.0,1
1527,4,0,1.0,0.0,1
1716,0,1,0.0,1.0,1
1717,1,0,1.0,0.0,1
1718,0,3,0.0,1.0,1
1719,0,2,0.0,1.0,1
1720,0,4,0.0,1.0,1
1721,0,4,0.0,1.0,1
1722,0,2,0.0,1.0,1
1723,2,2,0.5,0.5,1
1724,2,0,1.0,0.0,1
1725,4,0,1.0,0.0,1
1726,4,0,1.0,0.0,1
1727,2,0,1.0,0.0,1
1728,4,0,1.0,0.0,1
1729,2,0,1.0,0.0,1
1730,4,0,1.0,0.0,1
1731,4,0,1.0,0.0,1
1732,2,0,1.0,0.0,1
1733,4,0,1.0,0.0,1
1734,4,0,1.0,0.0,1
1735,2,0,1.0,0.0,1
1736,4,0,1.0,0.0,1
1737,2,0,1.0,0.0,1
1738,4,0,1.0,0.0,1
1739,4,0,1.0,0.0,1
1740,2,0,1.0,0.0,1
1741,4,0,1.0,0.0,1
1742,2,0,1.0,0.0,1
1743,4,0,1.0,0.0,1
1744,4,0,1.0,0.0,1
1748,3,0,1.0,0.0,1
1749,4,0,1.0,0.0,1
1750,1,1,0.5,0.5,1
1751,1,3,0.25,0.75,1
1752,0,2,0.0,1.0,1
1753,4,0,1.0,0.0,1
1754,4,0,1.0,0.0,1
1755,2,0,1.0,0.0,1
1756,4,0,1.0,0.0,1
1757,2,0,1.0,0.0,1
1940,1,0,1.0,0.0,1
1941,1,0,1.0,0.0,1
1942,1,0,1.0,0.0,1
1943,1,0,1.0,0.0,1
1945,2,0,1.0,0.0,1
1946,1,0,1.0,0.0,1
1947,0,2,0.0,1.0,1
1948,0,1,0.0,1.0,1
1949,0,2,0.0,1.0,1
1950,0,2,0.0,1.0,1
1951,1,0,1.0,0.0,1
1952,2,0,1.0,0.0,1
1953,1,0,1.0,0.0,1
1954,2,0,1.0,0.0,1
1955,2,0,1.0,0.0,1
1956,1,0,1.0,0.0,1
1957,2,0,1.0,0.0,1
1958,1,0,1.0,0.0,1
1959,2,0,1.0,0.0,1
1960,2,0,1.0,0.0,1
1961,1,0,1.0,0.0,1
1962,2,0,1.0,0.0,1
1963,2,0,1.0,0.0,1
1964,1,0,1.0,0.0,1
1965,2,0,1.0,0.0,1
1966,1,0,1.0,0.0,1
1967,2,0,1.0,0.0,1
1968,2,0,1.0,0.0,1
1969,1,0,1.0,0.0,1
1970,2,0,1.0,0.0,1
1971,1,0,1.0,0.0,1
1972,2,0,1.0,0.0,1
1973,2,0,1.0,0.0,1
1979,0,1,0.0,1.0,1
1980,0,2,0.0,1.0,1
1981,1,0,1.0,0.0,1
1982,2,0,1.0,0.0,1
1983,2,0,1.0,0.0,1
1984,1,0,1.0,0.0,1
1985,2,0,1.0,0.0,1
1986,1,0,1.0,0.0,1
1987,1,0,1.0,0.0,1
2155,1,0,1.0,0.0,1
2156,1,1,0.5,0.5,1
2157,0,1,0.0,1.0,1
2158,0,2,0.0,1.0,1
2159,0,1,0.0,1.0,1
2160,0,1,0.0,1.0,1
2161,1,0,1.0,0.0,1
2162,1,0,1.0,0.0,1
2163,2,0,1.0,0.0,1
2164,3,0,1.0,0.0,1
2165,2,0,1.0,0.0,1
2166,4,0,1.0,0.0,1
2167,2,0,1.0,0.0,1
2168,4,0,1.0,0.0,1
2169,3,1,0.75,0.25,1
2170,1,1,0.5,0.5,1
2171,2,2,0.5,0.5,1
2172,0,2,0.0,1.0,1
2173,2,2,0.5,0.5,1
2174,2,2,0.5,0.5,1
2175,1,1,0.5,0.5,1
2176,1,3,0.25,0.75,1
2177,0,2,0.0,1.0,1
2178,0,4,0.0,1.0,1
2179,3,1,0.75,0.25,1
2180,2,0,1.0,0.0,1
2181,4,0,1.0,0.0,1
2182,2,0,1.0,0.0,1
2183,4,0,1.0,0.0,1
2184,4,0,1.0,0.0,1
2185,2,0,1.0,0.0,1
2186,4,0,1.0,0.0,1
2187,2,0,1.0,0.0,1
2188,4,0,1.0,0.0,1
2189,4,0,1.0,0.0,1
2190,2,0,1.0,0.0,1
2191,4,0,1.0,0.0,1
2192,4,0,1.0,0.0,1
2193,2,0,1.0,0.0,1
2194,4,0,1.0,0.0,1
2195,2,0,1.0,0.0,1
2196,4,0,1.0,0.0,1
