MTU (CET/CEST),Day-ahead Price [EUR/MWh],Currency,BZN|GR
14/01/2023 07:00:00 - 14/01/2023 08:00:00,266.53,EUR,
14/01/2023 08:00:00 - 14/01/2023 09:00:00,262.12,EUR,
14/01/2023 09:00:00 - 14/01/2023 10:00:00,229.49,EUR,
14/01/2023 10:00:00 - 14/01/2023 11:00:00,167.91,EUR,
14/01/2023 11:00:00 - 14/01/2023 12:00:00,162.79,EUR,
14/01/2023 12:00:00 - 14/01/2023 13:00:00,167.59,EUR,
14/01/2023 13:00:00 - 14/01/2023 14:00:00,167.17,EUR,
14/01/2023 14:00:00 - 14/01/2023 15:00:00,200.45,EUR,
14/01/2023 15:00:00 - 14/01/2023 16:00:00,277.57,EUR,
14/01/2023 16:00:00 - 14/01/2023 17:00:00,351.0,EUR,
14/01/2023 17:00:00 - 14/01/2023 18:00:00,357.18,EUR,
14/01/2023 18:00:00 - 14/01/2023 19:00:00,311.0,EUR,
14/01/2023 19:00:00 - 14/01/2023 20:00:00,357.18,EUR,
14/01/2023 20:00:00 - 14/01/2023 21:00:00,321.0,EUR,
14/01/2023 21:00:00 - 14/01/2023 22:00:00,264.87,EUR,
14/01/2023 22:00:00 - 14/01/2023 23:00:00,237.06,EUR,
14/01/2023 23:00:00 - 15/01/2023 00:00:00,226.78,EUR,
15/01/2023 00:00:00 - 15/01/2023 01:00:00,266.12,EUR,
15/01/2023 01:00:00 - 15/01/2023 02:00:00,285.0,EUR,
15/01/2023 02:00:00 - 15/01/2023 03:00:00,156.14,EUR,
15/01/2023 03:00:00 - 15/01/2023 04:00:00,130.0,EUR,
15/01/2023 04:00:00 - 15/01/2023 05:00:00,130.6,EUR,
15/01/2023 05:00:00 - 15/01/2023 06:00:00,130.0,EUR,
15/01/2023 06:00:00 - 15/01/2023 07:00:00,146.76,EUR,
15/01/2023 07:00:00 - 15/01/2023 08:00:00,148.4,EUR,
15/01/2023 08:00:00 - 15/01/2023 09:00:00,148.4,EUR,
15/01/2023 09:00:00 - 15/01/2023 10:00:00,149.0,EUR,
15/01/2023 10:00:00 - 15/01/2023 11:00:00,148.4,EUR,
15/01/2023 11:00:00 - 15/01/2023 12:00:00,141.33,EUR,
15/01/2023 12:00:00 - 15/01/2023 13:00:00,158.17,EUR,
15/01/2023 13:00:00 - 15/01/2023 14:00:00,154.29,EUR,
15/01/2023 14:00:00 - 15/01/2023 15:00:00,216.28,EUR,
15/01/2023 15:00:00 - 15/01/2023 16:00:00,229.8,EUR,
15/01/2023 16:00:00 - 15/01/2023 17:00:00,250.5,EUR,
15/01/2023 17:00:00 - 15/01/2023 18:00:00,269.71,EUR,
15/01/2023 18:00:00 - 15/01/2023 19:00:00,266.54,EUR,
15/01/2023 19:00:00 - 15/01/2023 20:00:00,275.68,EUR,
15/01/2023 20:00:00 - 15/01/2023 21:00:00,284.03,EUR,
15/01/2023 21:00:00 - 15/01/2023 22:00:00,265.36,EUR,
15/01/2023 22:00:00 - 15/01/2023 23:00:00,250.38,EUR,
15/01/2023 23:00:00 - 16/01/2023 00:00:00,261.0,EUR,
16/01/2023 00:00:00 - 16/01/2023 01:00:00,176.7,EUR,
16/01/2023 01:00:00 - 16/01/2023 02:00:00,189.06,EUR,
16/01/2023 02:00:00 - 16/01/2023 03:00:00,176.7,EUR,
16/01/2023 03:00:00 - 16/01/2023 04:00:00,176.7,EUR,
16/01/2023 04:00:00 - 16/01/2023 05:00:00,161.9,EUR,
16/01/2023 05:00:00 - 16/01/2023 06:00:00,264.78,EUR,
16/01/2023 06:00:00 - 16/01/2023 07:00:00,266.05,EUR,
16/01/2023 07:00:00 - 16/01/2023 08:00:00,269.95,EUR,
16/01/2023 08:00:00 - 16/01/2023 09:00:00,242.63,EUR,
16/01/2023 09:00:00 - 16/01/2023 10:00:00,189.06,EUR,
16/01/2023 10:00:00 - 16/01/2023 11:00:00,163.88,EUR,
16/01/2023 11:00:00 - 16/01/2023 12:00:00,157.96,EUR,
